Hydrogen, H, 1, 1.008
Helium, He, 2, 4.0026
Lithium, Li, 3, 6.94
Beryllium, Be, 4, 9.0122
Boron, B, 5, 10.81
Carbon, C, 6, 12.011
Nitrogen, N, 7, 14.007
Oxygen, O, 8, 15.999
Fluorine, F, 9, 18.998
Neon, Ne, 10, 20.180
Sodium, Na, 11, 22.990
Magnesium, Mg, 12, 24.305
Aluminum, Al, 13, 26.982
Silicon, Si, 14, 28.085
Phosphorus, P, 15, 30.974
Sulfur, S, 16, 32.06
Chlorine, Cl, 17, 35.45
Argon, Ar, 18, 39.948
Potassium, K, 19, 39.098
Calcium, Ca, 20, 40.078
Scandium, Sc, 21, 44.956
Titanium, Ti, 22, 47.867
Vanadium, V, 23, 50.942
Chromium, Cr, 24, 52.04
Manganese, Mn, 25, 54.938
Iron, Fe, 26, 55.845
Cobalt, Co, 27, 58.933
Nickel, Ni, 28, 58.693
Copper, Cu, 29, 63.546
Zinc, Zn, 30, 65.38
Gallium, Ga, 31, 69.723
Germanium, Ge, 32, 72.63
Arsenic, As, 33, 74.922
Selenium, Se, 34, 78.971
Bromine, Br, 35, 79.904
Krypton, Kr, 36, 83.798
Rubidium, Rb, 37, 85.468
Strontium, Sr, 38, 87.62
Yttrium, Y, 39, 88.906
Zirconium, Zr, 40, 91.224
Niobium, Nb, 41, 92.906
Molybdenum, Mo, 42, 95.95
Technetium, Tc, 43, 98
Ruthenium, Ru, 44, 101.07
Rhodium, Rh, 45, 102.91
Palladium, Pd, 46, 106.42
Silver, Ag, 47, 107.868
Indium, In, 48, 114.818
Tin, Sn, 49, 118.71
Antimony, Sb, 50, 121.76
Tellurium, Te, 52, 127.60
Iodine, I, 53, 126.904
Xenon, Xe, 54, 131.293
Cesium, Cs, 55, 132.905
Barium, Ba, 56, 137.327
Lanthanum, La, 57, 138.905
Cerium, Ce, 58, 140.116
Praseodymium, Pr, 59, 140.907
Neodymium, Nd, 60, 144.242
Promethium, Pm, 61, 145
Dysprosium, Dy, 62, 148.914
Holmium, Ho, 63, 152.00
Erbium, Er, 64, 157.25
Thulium, Tm, 65, 158.925
Ytterbium, Yb, 66, 173.04
Lutetium, Lu, 67, 175.0
Hafnium, Hf, 68, 178.49
Tantalum, Ta, 69, 180.948
Tungsten, W, 70, 183.84
Rhenium, Re, 71, 186.207
Osmium, Os, 72, 190.23
Iridium, Ir, 73, 192.217
Platinum, Pt, 74, 195.084
Gold, Au, 75, 196.967
Mercury, Hg, 76, 200.592
Thallium, Tl, 77, 204.38
Lead, Pb, 78, 207.2
Bismuth, Bi, 79, 208.980
Polonium, Po, 80, 209.982
Radon, Rn, 81, 222.02
Francium, Fr, 82, 223
Radium, Ra, 83, 226
Actinium, Ac, 84, 227
Thorium, Th, 85, 232.0377
Protactinium, Pa, 86, 231.03588
Uranium, U, 87, 238.02891
Neptunium, Np, 88, 237
Plutonium, Pu, 89, 244
Americium, Am, 90, 243
Curium, Cm, 91, 247
Berkelium, Bk, 92, 247
Californium, Cf, 93, 251
Einsteinium, Es, 94, 252
Fermium, Fm, 95, 257
Mendelevium, Md, 96, 258
Nobelium, No, 97, 259
Lawrencium, Lr, 98, 262
Rutherfordium, Rf, 99, 267
Dubnium, Db, 100, 270
Seaborgium, Sg, 101, 271
Bohrium, Bh, 102, 270
Hassium, Hs, 103, 277
Meitnerium, Mt, 104, 276
Darmstadtium, Ds, 105, 281
Roentgenium, Rg, 106, 280
Copernicium, Cn, 107, 285
Nihonium, Nh, 108, 284
Flerovium, Fl, 109, 289
Livermorium, Lv, 110, 293
Tennessine, Ts, 111, 294
Oganesson, Og, 112, 294
